shear_stress	shear_rate	viscosity	time	temperature	normal_stress
%Pa	1/s	Pa.s	s	C	Pa
97.14	500.0	0.1943	15.06	25.2	399.9
83.46	428.9	0.1946	29.09	25.2	265.8
74.09	367.8	0.2014	43.00	25.2	182.8
67.34	315.5	0.2135	57.09	25.2	129.6
61.32	270.6	0.2266	71.06	25.2	83.78
55.55	232.0	0.2394	85.09	25.2	44.57
50.53	199.0	0.2539	99.11	25.2	10.32
45.18	170.7	0.2646	113.1	25.2	-17.33
40.81	146.4	0.2787	127.0	25.2	-49.66
36.54	125.6	0.2910	141.0	25.2	-70.57
33.08	107.7	0.3071	155.1	25.2	-92.86
29.64	92.39	0.3208	169.2	25.2	-109.8
26.82	79.25	0.3384	183.1	25.2	-126.2
24.07	67.97	0.3542	197.1	25.2	-141.1
21.37	58.30	0.3666	211.2	25.2	-154.4
19.19	50.00	0.3839	225.0	25.2	-165.1
16.98	42.89	0.3959	239.1	25.2	-177.5
15.32	36.79	0.4164	253.1	25.2	-183.7
13.76	31.55	0.4362	267.0	25.2	-188.6
12.36	27.07	0.4565	281.2	25.2	-196.9
11.15	23.20	0.4804	295.0	25.2	-203.9
10.03	19.91	0.5037	309.1	25.2	-206.8
9.019	17.07	0.5285	323.1	25.2	-211.7
8.139	14.65	0.5556	337.0	25.2	-213.8
7.353	12.55	0.5860	351.0	25.2	-211.7
6.621	10.78	0.6145	365.2	25.2	-219.6
5.956	9.248	0.6440	379.1	25.2	-218.4
5.353	7.933	0.6747	393.2	25.2	-219.6
4.820	6.788	0.7101	407.1	25.2	-219.6
4.348	5.829	0.7459	421.0	25.2	-219.6
3.961	4.990	0.7939	435.1	25.2	-222.0
3.587	4.293	0.8355	449.0	25.2	-227.0
3.250	3.683	0.8824	463.1	25.2	-227.4
2.979	3.158	0.9434	477.1	25.2	-227.4
2.747	2.708	1.014	491.1	25.2	-227.4
2.522	2.325	1.085	505.1	25.2	-226.6
2.321	1.992	1.165	519.1	25.2	-227.4
2.144	1.704	1.258	533.1	25.2	-226.6
1.995	1.466	1.361	547.1	25.2	-226.2
1.861	1.254	1.484	561.2	25.2	-221.2
1.747	1.080	1.617	575.0	25.2	-219.1
1.632	0.9229	1.768	589.0	25.2	-218.7
1.536	0.7994	1.921	603.0	25.2	-218.7
1.442	0.6782	2.127	617.1	25.2	-219.6
1.354	0.5823	2.326	631.0	25.2	-219.6
1.275	0.5004	2.549	645.1	25.2	-220.8
1.206	0.4290	2.810	659.1	25.2	-219.6
1.142	0.3673	3.109	673.0	25.2	-217.5
1.086	0.3157	3.438	687.0	25.2	-215.0
1.023	0.2707	3.778	701.1	25.2	-212.5
0.9632	0.2318	4.155	715.0	25.2	-211.7
0.9098	0.1989	4.575	729.1	25.2	-211.7
0.8598	0.1706	5.040	743.1	25.2	-211.3
0.8157	0.1467	5.561	757.0	25.2	-207.4
0.7736	0.1251	6.183	771.1	25.2	-204.3
0.7385	0.1077	6.858	785.1	25.2	-203.1
0.7020	0.09192	7.637	799.0	25.2	-201.4
0.6711	0.07905	8.489	813.1	25.2	-202.6
0.6406	0.06781	9.447	827.0	25.2	-201.8
0.6131	0.05791	10.59	841.1	25.2	-197.3
0.5883	0.04978	11.82	855.1	25.2	-198.5
0.5683	0.04290	13.25	869.0	25.2	-200.4
0.5492	0.03674	14.95	883.0	25.2	-203.0
0.5343	0.03183	16.79	897.0	25.2	-200.0
0.5289	0.02978	17.76	911.1	25.2	-198.5
